Time,Date,Sample,Study plot,Petal side,gsw,leak_pct,plant
13:10:14,3/25/2025,39.0,A,bottom,-0.002133,1.4,#39
13:10:40,3/25/2025,39.0,A,top,0.003626,1.0,#39
13:13:59,3/25/2025,40.0,A,bottom,-0.000306,1.4,#40
13:14:14,3/25/2025,40.0,A,top,-0.003715,1.4,#40
10:03:24,2025-04-03,1.0,A,bottom,0.034848,-0.1,#1
10:03:53,2025-04-03,1.0,A,top,0.034687,0.1,#1
10:11:53,2025-04-03,2.0,A,bottom,-0.001384,0.3,#2
10:12:21,2025-04-03,2.0,A,top,0.003913,0.0,#2
10:24:41,2025-04-03,3.0,A,bottom,-0.004278,0.3,#3
10:25:16,2025-04-03,3.0,A,top,0.007702,0.4,#3
10:29:02,2025-04-03,4.0,A,bottom,0.014426,0.5,#4
10:29:18,2025-04-03,4.0,A,top,0.005249,0.3,#4
10:36:15,2025-04-03,5.0,A,bottom,0.088109,0.5,#5
10:36:49,2025-04-03,5.0,A,top,0.003367,0.6,#5
10:40:00,2025-04-03,6.0,A,bottom,0.12675,0.4,#6
10:40:35,2025-04-03,6.0,A,top,0.03596,0.4,#6
10:42:40,2025-04-03,7.0,A,bottom,-0.002168,0.4,#7
10:43:13,2025-04-03,7.0,A,top,0.003363,0.7,#7
10:46:55,2025-04-03,8.0,A,bottom,-0.012635,0.5,#8
10:47:35,2025-04-03,8.0,A,top,-0.002512,0.2,#8
10:53:15,2025-04-03,9.0,A,bottom,0.018097,0.1,#9
10:53:36,2025-04-03,9.0,A,top,0.008661,0.3,#9
10:58:17,2025-04-03,10.0,A,bottom,-0.001544,0.5,#10
10:58:54,2025-04-03,10.0,A,top,-0.000978,0.3,#10
10:59:58,2025-04-03,11.0,A,bottom,-0.003723,0.4,#11
11:00:17,2025-04-03,11.0,A,top,-0.000158,0.2,#11
11:04:03,2025-04-03,12.0,A,bottom,0.001468,0.4,#12
11:04:43,2025-04-03,12.0,A,top,-0.016038,0.5,#12
11:08:07,2025-04-03,13.0,A,bottom,0.01046,0.5,#13
11:08:22,2025-04-03,13.0,A,top,0.017499,0.5,#13
11:11:14,2025-04-03,14.0,A,bottom,0.00775,0.3,#14
11:12:57,2025-04-03,14.0,A,top,0.002947,0.2,#14
11:17:23,2025-04-03,15.0,A,bottom,0.004297,0.6,#15
11:17:49,2025-04-03,15.0,A,top,-0.002141,0.4,#15
11:23:49,2025-04-03,16.0,A,bottom,0.006805,0.5,#16
11:24:13,2025-04-03,16.0,A,top,0.00206,0.5,#16
11:28:35,2025-04-03,17.0,A,bottom,0.01509,0.7,#17
11:28:58,2025-04-03,17.0,A,top,0.010063,0.5,#17
11:31:48,2025-04-03,18.0,A,bottom,-0.005048,0.4,#18
11:32:10,2025-04-03,18.0,A,top,-0.007444,0.4,#18
11:36:29,2025-04-03,19.0,A,bottom,-0.001089,0.6,#19
11:36:59,2025-04-03,19.0,A,top,-0.002796,0.4,#19
11:38:00,2025-04-03,20.0,A,bottom,0.000391,0.4,#20
11:38:20,2025-04-03,20.0,A,top,-0.004261,0.8,#20
12:11:39,2025-04-03,21.0,A,bottom,0.002,0.6,#21
12:11:58,2025-04-03,21.0,A,top,0.013736,0.6,#21
12:17:33,2025-04-03,22.0,A,bottom,0.005584,0.7,#22
